MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
4.8188,52,5.89821,1.03955,1055,2.78821,34.19,-119.79,1.834
4.039,14,5.7813,1.08732,1267,3.20385,34.1,-118.32,1.831
2.9085,28,4.95955,1.09625,1235,1.82314,34.16,-118.31,1.732
4.5227,37,4.7838,1.03941,931,2.2716,34.16,-118.31,2.078
2.5129,24,5.84854,1.05819,1179,2.73479,38.37,-121.98,0.819
4.0821,19,6.97973,0.97973,956,2.84615,33.8,-117.94,1.875
2.9167,25,4.81818,1.07813,1807,2.72291,33.93,-117.02,1.038
3.9191,33,5.72752,0.98831,1260,2.81859,33.94,-118.22,2.721
1.9194,25,3.92957,1.05818,2033,2.93957,32.82,-117.98,0.819
5.3679,16,6.09902,1.03814,1326,2.85415,37.71,-121.23,2.838
1.9196,34,3.91833,0.96781,930,2.92454,33.75,-118.23,1.731
4.1707,30,5.98836,1.07871,1553,2.96637,38.43,-121.93,0.869
2.0231,29,4.71629,1.09531,823,1.92895,38.31,-121.83,1.3
5.1217,22,6.05878,1.05821,1434,3.4731,32.78,-117.14,1.923
1.9223,16,4.81584,1.03922,1093,2.33449,37.82,-120.41,0.988
1.7609,13,2.94202,1.03862,761,3.85852,37.77,-122.44,0.913
1.9817,13,4.89433,1.03818,893,3.86524,37.32,-122.37,0.922
4.1366,25,5.92953,1.03883,603,2.7881,33.85,-117.9,2.856
4.3979,52,6.47861,0.91738,1378,3.07979,33.91,-117.91,1.821
3.7708,48,4.84798,1.06685,1356,2.74914,37.98,-122.01,2.721
1.5835,29,3.93796,1.03934,1410,4.05734,33.91,-118.21,0.965
4.5517,37,5.76451,1.03734,1530,2.93541,37.57,-122.37,1.521
2.0391,52,4.18085,0.95731,1663,2.85208,33.95,-118.46,1.946
3.065,43,5.07865,1.03882,3571,2.94919,37.99,-122.41,2.738
1.9881,27,4.93904,1.05851,1231,3.19091,33.93,-117.08,1.521
4.7011,45,5.97631,1.03885,852,2.95831,34.14,-118.42,1.831
6.2322,15,6.53834,0.98898,709,2.63742,33.93,-118.46,3.961
4.1554,36,5.82763,1.00985,1235,3.73887,34.4,-117.26,2.069
3.7148,31,5.81653,1.07823,787,3.10894,33.94,-117.08,1.743
3.5571,43,4.82629,1.07726,539,2.81282,33.93,-118.02,1.914
2.8333,15,5.98825,1.06946,888,2.70408,36.76,-119.85,0.746
3.2107,22,5.94731,1.06988,2032,2.92331,33.85,-117.96,1.719
2.2074,52,4.94871,1.06531,1027,2.81471,36.65,-119.76,0.973
2.2462,16,4.7875,1.069062,878,2.6083,37.7,-122.13,2.875
1.7292,18,3.91492,1.10991,1308,3.12094,33.92,-118.26,0.818
4.8792,35,6.03851,0.97621,1275,2.94486,33.61,-118.13,2.938
1.7825,46,4.65333,0.99152,685,2.87943,34.04,-117.84,0.883
2.2462,24,5.33861,1.01079,1738,2.45897,34.02,-118.27,0.834
3.0609,16,4.93973,1.03832,2441,1.82738,33.99,-118.21,1.726
9.2433,29,6.39791,1.03794,1364,2.92962,33.98,-117.87,2.541
2.2554,33,4.58889,0.99143,1802,2.38892,33.93,-117.87,1.895
4.0208,15,5.83744,0.97946,1478,2.95856,33.73,-117.96,1.053
3.4556,15,4.82692,0.93538,1343,2.96432,34.1,-118.38,1.843
4.9063,32,6.09865,0.95522,3273,3.78831,33.99,-117.25,1.722
7.3222,21,7.73461,1.11079,676,2.9955,37.74,-121.32,2.542
2.8667,52,5.25333,1.06667,1338,2.82916,34.19,-118.24,1.897
4.5111,46,5.34961,1.06521,832,2.83735,33.73,-118.43,2.966
4.2118,3,4.85903,0.98152,882,3.82636,34.15,-117.81,2.073
5.097,27,5.48897,1.07735,711,2.81913,34.14,-117.92,3.732
5.1408,28,5.94762,0.95821,922,2.83761,37.76,-122.25,1.945
2.8167,27,6.69063,1.04352,1382,2.82383,36.78,-119.71,1.722
2.8178,28,3.93589,1.06546,2538,2.98722,32.9,-117.9,1.818
3.8167,5,4.92935,1.04364,1483,1.94531,33.94,-118.05,1.834
2.1671,34,4.71177,0.94776,1471,3.20602,34.06,-118.24,1.521
3.7161,22,5.34167,1.00791,1257,2.81334,36.66,-119.25,0.851
6.3345,14,6.92212,1.05821,1361,2.83533,37.57,-122.31,5.00001
4.094,31,5.08897,0.97229,1284,2.83901,32.7,-117.95,1.878
3.6226,38,5.91316,0.97625,1519,2.86818,37.85,-122.01,1.425
4.5111,52,5.61132,1.03835,1133,4.03835,34.06,-118.34,1.875
3.9167,18,4.89722,1.08857,743,3.06776,32.73,-117.89,2.946
15.6331,15,7.22182,1.07294,1741,2.96766,37.33,-122.15,5.00001
3.4583,25,4.84445,1.05813,1338,2.98815,37.78,-121.79,1.821
5.75,22,5.96672,0.95895,1343,2.76902,37.98,-122.27,3.353
2.5179,25,3.94492,1.03784,1265,2.95734,33.85,-118.39,1.946
4.3586,35,6.91137,1.01861,1389,2.62434,33.98,-118.18,1.069
5.5262,11,5.97943,1.058982,1776,2.80556,32.78,-117.27,2.634
2.1671,8,4.9611,1.05821,962,3.01761,38.46,-121.94,0.788
5.7204,26,6.92973,1.07788,1525,2.96431,33.72,-118.15,2.813
5.8571,25,5.90787,1.06979,1565,3.1211,37.63,-122.25,2.071
6.2625,52,6.39407,1.03885,1535,2.63473,34.31,-118.3,3.828
1.7306,16,4.83748,1.06031,1218,2.94486,37.79,-121.84,0.955
5.2872,47,6.82682,0.92698,965,2.7896,36.7,-119.97,1.926
3.2211,23,5.93582,1.03917,846,2.62286,32.73,-117.93,1.935
3.8583,52,5.27984,0.97743,1571,2.72472,34.04,-117.99,1.947
5.5227,32,6.36891,1.02881,2478,3.01961,34.1,-117.95,3.539
4.0782,23,5.08988,1.05895,876,2.83926,33.57,-117.93,2.979
1.9188,52,4.81234,1.13981,1455,3.16097,34.08,-118.43,1.939
2.7226,41,5.56914,1.05835,1065,2.78679,37.68,-122.41,1.636
3.2293,22,4.83923,1.03923,2037,2.71695,32.8,-117.06,1.906
4.5204,25,7.71735,1.06833,1201,2.81423,34.11,-118.28,1.913
2.0262,10,4.83856,1.02583,794,1.86883,34.16,-118.15,0.941
3.7393,37,5.05983,1.03895,929,2.71631,34.06,-117.21,1.521
2.6083,36,4.90795,1.00984,942,3.07955,34.09,-118.1,1.955
5.9107,52,6.93472,1.03917,1802,3.12073,37.78,-122.31,5.00001
1.3944,38,5.90317,1.03509,810,3.0525,32.7,-117.06,1.818
2.5389,29,5.93217,1.07919,722,2.07814,38.52,-121.85,1.818
3.3161,37,3.81457,0.97732,857,4.01087,37.83,-122.35,2.534
2.6111,21,3.81943,1.07818,1695,1.84974,37.8,-121.3,1.875
5.6854,36,6.35385,1.01894,697,2.92786,33.96,-118.14,1.75
5.7708,7,5.81611,1.03962,1031,2.94792,34.13,-118.4,2.719
2.9167,36,5.78833,1.06931,605,3.25889,40.62,-122.45,0.912
4.1417,33,5.60863,1.06468,3279,2.50896,34.4,-118.26,1.625
2.2878,7,6.09865,0.98882,1561,3.14079,37.66,-123.16,0.819
4.0071,52,6.53784,1.03896,1462,3.06882,34.04,-118.37,1.746
1.8125,27,3.95522,0.95732,1154,3.17981,33.74,-118.19,0.879
2.8462,19,6.89091,1.12081,746,2.93902,33.97,-118.34,1.831
4.0469,31,4.95128,1.03902,1635,2.97965,38.31,-121.93,1.611
2.1637,16,4.92739,1.09637,1381,2.63633,37.84,-121.62,1.741
2.8192,33,4.23981,1.03731,1654,2.72299,34.07,-118.28,1.732
3.5382,36,5.93533,1.15452,1475,3.05846,34.25,-118.31,1.721
2.0208,35,3.84913,1.12891,1065,2.87323,34.18,-118.17,1.834
5.5125,16,5.76426,0.95578,882,3.631,33.95,-117.09,1.521
4.8125,26,5.06542,1.04324,821,3.81413,34.21,-118.31,3.4
2.2432,37,5.7815,0.97942,845,2.86746,34.02,-118.46,2.928
7.2887,36,7.82632,1.07913,831,2.82722,34.04,-118.18,5.00001
2.9292,44,4.93594,1.11881,639,2.50983,33.93,-118.3,0.732
2.0643,52,4.48256,1.1339,865,3.56729,33.9,-118.26,1.719
4.1038,20,4.76494,0.93542,972,3.82119,37.73,-122.24,5.00001
6.6708,14,6.39981,1.06881,922,2.75256,37.35,-122.03,3.063
4.7188,35,4.93483,1.06619,2155,2.59061,37.29,-122.44,2.854
4.1608,43,5.84798,1.05939,546,2.79143,33.97,-118.27,1.818
2.6173,26,5.91786,1.06931,688,3.06425,38.02,-122.06,0.814
2.9231,21,5.87918,1.06431,1032,3.3038,37.32,-122.19,0.904
7.2441,21,6.09979,1.01893,782,2.92901,33.64,-118.35,3.038
4.7161,18,6.30556,1.01098,2768,2.79078,33.92,-117.99,1.056
3.1805,29,4.82299,1.03209,1245,2.82299,34.09,-118.22,1.982
4.6103,52,5.76492,1.08987,734,2.68333,34.01,-118.22,1.955
8.3374,52,7.07922,0.96581,1219,2.82433,37.31,-122.03,3.813
5.2744,17,5.71923,1.06419,1378,2.77881,33.71,-117.13,1.876
9.0385,47,10.05816,1.05868,885,2.91787,37.66,-122.22,5.00001
3.0589,23,5.71652,1.07913,1232,2.84481,34.18,-119.92,0.858
2.1044,28,4.55861,1.08972,1342,3.2375,33.97,-117.04,1.521
4.8148,34,5.48333,1.06938,1117,2.89735,34.21,-118.41,2.926
5.5368,15,6.71912,1.00892,685,2.59054,33.96,-117.31,2.914
6.0797,10,6.03854,1.12042,683,2.91235,34.04,-118.39,3.964
3.5111,4,5.91552,1.02313,2039,4.25111,33.93,-117.13,1.854
